removedSharedSourcePage,affectedRows,distinctIdentities,correction
https://yourhealthbasket.co.uk/product/digestive-enzymes-ultra-with-betaine-hcl-90-caps-pure-encapsulations/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/emulsi-d3-synergy-2-oz-designs-for-health/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/enzyme-science-stem-xcell-pro/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/floramyces-60-capsules-designs-for-health/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/foresterol-90-softgels-designs-for-health/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/gi-motility-complex-60-capsules-enzyme-science/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/gi-relief-formerly-gi-encap-180-vegetarian-capsules-thorne-research/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/gi-revive-210-capsules-designs-for-health/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/gi-revive-225-gm-powder-designs-for-health/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/immune-charge-throat-spray-27ml-quicksilver-scientific/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/k2-potassium-120-vegetarian-capsules-designs-for-health/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/kidney-korrect-60-veg-caps-designs-for-health/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/lipoic-acid-supreme-60-capsules-designs-for-health/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/lv-gb-complex-90-capsules-designs-for-health/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/magnesium-glycinate-complex-240-capsules-designs-for-health/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/magnesium-glycinate-powder-150g-designs-for-health/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/magnesium-malate-240-veg-caps-designs-for-health/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/monolaurin-avail-120-capsules-designs-for-health/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/nattokinase-pro-60-capsules-enzyme-science/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/omegavail-hi-po-60-softgels-designs-for-health/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/pure-pc-120ml-quicksilver-scientific/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/resveratrol-supreme-60-capsules-designs-for-health/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/riboscardio-15-oz-421g-researched-nutritionals-soi/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/sensitol-120-vegetarian-capsules-designs-for-health-soi/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/thyroid-synergy-120-capsules-designs-for-health/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/toxinpul-90-caps-researched-nutritionals-soi/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/whole-body-collagen-powder-390g-designs-for-health/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/zinc-supreme-90-vegetarian-capsules-designs-for-health/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://abundantlifenutrients.com/product/cognease-detox/,3,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://abundantlifenutrients.com/product/cognease/,3,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://abundantlifenutrients.com/product/cyflacalm-ii/,3,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://abundantlifenutrients.com/product/cyflacalm/,3,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://abundantlifenutrients.com/product/drena-sppt/,3,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://abundantlifenutrients.com/product/enl-bt-1/,3,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://abundantlifenutrients.com/product/enl-mc/,3,2,REMOVED_AS_AUTHORITATIVE_SOURCE
