batchIndex,immutableKey,brand,productName,size,format,sku,removedSharedSourcePage,officialDomains,variantSpecificSearchQuery,requiredResolution,targetJpgPath
18390,us:seroyal-genestra-heather-young-shoot-liquid-6b79a781:0,Seroyal/Genestra,Heather Young Shoot Liquid,0.5 fl oz,Liquid,,https://www.healthpalace.ca/genestra-phyto-gen-heather-young-shoot-15-ml/,seroyal.com,"""Seroyal/Genestra"" ""Heather Young Shoot Liquid"" ""0.5 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/1fc6b0759dd432f60f361e5f.jpg
18391,us:seroyal-genestra-hemo-gen-fb33d2c1:0,Seroyal/Genestra,Hemo-gen,0.5 fl oz,Liquid,,https://www.seroyal.com/hemo-gen-1.html/,seroyal.com,"""Seroyal/Genestra"" ""Hemo-gen"" ""0.5 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/a3170a27f44ed039802481de.jpg
18392,us:seroyal-genestra-hemo-gen-liquid-e6be5ee6:0,Seroyal/Genestra,Hemo-gen Liquid,0.5 fl oz,Liquid,,https://www.seroyal.com/hemo-gen-1.html/,seroyal.com,"""Seroyal/Genestra"" ""Hemo-gen Liquid"" ""0.5 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/66cb4ef396839d73efaaa5ca.jpg
18393,us:seroyal-genestra-hfe-2dfe21a8:0,Seroyal/Genestra,HFE,1 fl oz,Liquid,,https://www.seroyal.com/hfe-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HFE"" ""1 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/1fef020702022ecc9982c873.jpg
18394,us:seroyal-genestra-hfe-liquid-a626470d:0,Seroyal/Genestra,HFE Liquid,1 fl oz,Liquid,,https://www.seroyal.com/hfe-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HFE Liquid"" ""1 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/7e13742a2f7d71c2341554e8.jpg
18395,us:seroyal-genestra-hhr-fdaef458:0,Seroyal/Genestra,HHR,1 fl oz,Liquid,,https://www.seroyal.com/hhr-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HHR"" ""1 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/42efdecfdbe95fe40e9b623a.jpg
18396,us:seroyal-genestra-hhr-liquid-0244f8d7:0,Seroyal/Genestra,HHR Liquid,1 fl oz,Liquid,,https://www.seroyal.com/hhr-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HHR Liquid"" ""1 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/3afeb09c14be8a9feac2d023.jpg
18400,us:seroyal-genestra-hlc-mind-linx-capsules-d6a3d5d2:0,Seroyal/Genestra,HLC Mind Linx Capsules,31.88,Capsules,,https://www.seroyal.com/hlc-mind-linx-capsules-us.html/,seroyal.com,"""Seroyal/Genestra"" ""HLC Mind Linx Capsules"" ""31.88"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/754ae0ae8c812823dfc3288d.jpg
18401,us:seroyal-genestra-hlc-mind-linx-capsules-d6a3d5d2:1,Seroyal/Genestra,HLC Mind Linx Capsules,60,Capsules,,https://www.seroyal.com/hlc-mind-linx-capsules-us.html/,seroyal.com,"""Seroyal/Genestra"" ""HLC Mind Linx Capsules"" ""60"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/71e13b774abcaaa444b34fae.jpg
18402,us:seroyal-genestra-hlc-replenish-capsules-5aa3c0a2:0,Seroyal/Genestra,HLC Replenish Capsules,14,Capsules,,https://www.seroyal.com/hlc-replenish-capsules-us.html/,seroyal.com,"""Seroyal/Genestra"" ""HLC Replenish Capsules"" ""14"" ""Capsules"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/8b4d1318d9e1dc7a707e0510.jpg
